,Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
0,Deis1k,1024,0,153
1,xiellendario,959,0,258
2,NadimCoSięumył,947,0,208
3,Cynarr,915,0,145
4,Sologesang,906,0,221
5,EL EKOINOMISTA,893,0,238
6,Matelas de Volta,878,0,280
7,EDG Emperador,829,0,242
8,SwellerTiger,823,0,227
9,chunkypapa,787,0,95
10,ImSøFresh,785,0,149
11,Liquid Snoodyboo,777,0,229
12,EDG Lumarpin,738,0,215
13,rCraig,734,0,173
14,Guillosko,729,0,182
15,KRC Jedusor ,716,0,195
16,Babyguana,714,0,208
17,SH1RCANE,703,0,262
18,AEG PasDeBol,684,0,179
19,gluteus maxímus,681,0,157
20,Kezman22,665,0,179
21,Ersinnx,641,0,223
22,Keudaw,634,0,194
23,Luque,630,0,164
24,Dalesom,623,0,232
25,Cilyo,617,0,123
26,Salvyyy,615,0,104
27,Skipaeus,607,0,167
28,IZI Lyyyress,601,0,136
29,Kevin Parker,569,0,247
30,S1C xus0o,564,0,218
31,Daan Stylez,563,0,186
32,SuperIgel,558,0,163
33,AEG Magarky,553,0,218
34,jodelj,541,0,87
35,KC Double61,538,0,136
36,Drenaco,534,0,172
37,La chaaaatee,533,0,167
38,Phyllalix,528,0,139
39,Kuzma MAMBA,519,0,261
40,Hirumaa1,519,0,185
41,BGN Kenobi,518,0,188
42,USM Yobidashi,517,0,135
43,donkey rerollers,517,0,173
44,Texita,513,0,139
45,BLP kubixon,511,0,137
46,Sinscere,510,0,130
47,h4udrauf,509,0,192
48,Beans from MaRs,503,0,241
49,RE Griffith,492,0,284
50,Bybz,491,0,196
51,AEG Un33d,476,0,179
52,TMS Sunshee,465,0,119
53,Chotto,461,0,202
54,BALOTELLI777,460,0,150
55,ANO Vicer,457,0,208
56,SLY L3SCoco,444,0,75
57,5454XD,441,0,135
58,Iαgo Aspαs,440,0,166
59,UtreTheGod,439,0,94
60,vuelve por favor,434,0,203
61,darkest1903,434,0,194
62,ZeulEnache,432,0,113
63,ANO shreddin,430,0,235
64,Jade con surimi,430,0,207
65,Temlozz ,426,0,161
66,DV1 Kacpersky191,415,0,203
67,BriksTN,414,0,235
68,Liquid AKAWonder,410,0,164
69,TheGod TFT,408,0,224
70,Lezzaford,398,0,243
71,BFR DrMattheus,395,0,116
72,Uiyo,393,0,157
73,S4GE,391,0,200
74,SLY Voltariux,391,0,162
75,TMS ShiningStar,390,0,140
76,FeelBored,387,0,167
77,FB Nyu,380,0,205
78,zoro5773,380,0,191
79,ZyK0o,377,0,94
80,Drazar,373,0,211
81,PSR Cascendre ,373,0,115
82,Dríger,372,0,199
83,yooog,371,0,164
84,rahzah,366,0,204
85,W29F,365,0,101
86,humishvperugnota,365,0,163
87,AKA magic,363,0,218
88,shirimi,363,0,139
89,Artíllery,358,0,151
90,LarPonT,354,0,218
91,Qualdrion,353,0,82
92,HyunTer,352,0,143
93,Wandherker,346,0,315
94,Jingleee,341,0,100
95,Bural0,335,0,193
96,eliatftv3,334,0,126
97,Crvor,334,0,354
98,HEATAH FAJITA,332,0,109
99,DISNEY dede,330,0,157
100,Dicob,327,0,173
101,TSW5,325,0,180
102,Loescher,323,0,147
103,La tchoin Belge,323,0,180
104,adreh,320,0,164
105,San Jomian,319,0,130
106,Zagranda,318,0,147
107,NLNB migueloxo,311,0,170
108,I am DoubleL,308,0,104
109,ZOYED,307,0,166
110,Idm,304,0,158
111,Itario,300,0,97
112,JägDuma31 32,300,0,240
113,CRP HINCAL ULUC,300,0,253
114,Adonis17,298,0,132
115,BGN ShinoPavels,293,0,153
116,Otsu Shobo,292,0,206
117,AGO Zbrojson,289,0,248
118,TTV GrimsLair,289,0,184
119,Eboy Urg0d ,283,0,141
120,Azaiir,282,0,191
121,AiramTFT97,280,0,176
122,Ôpale,280,0,173
123,Nythox Reformed,279,0,119
124,Joshy Chan ,277,0,149
125,Staig Rövskägg,275,0,157
126,Sizuru,269,0,167
127,USM insomniakk94,269,0,163
128,Nidzgor,268,0,116
129,DV1 Piechu,267,0,218
130,Tiaan TFT,258,0,226
131,ddtim,257,0,89
132,SkarambeZZ,254,0,159
133,KptainPE,253,0,106
134,Ernestiak,253,0,151
135,OGiii,252,0,159
136,iLLuuu TFT,249,0,201
137,HMPeiWan godv,248,0,252
138,ToonuTv,247,0,266
139,SquG3,247,0,193
140,Noerum,246,0,101
141,Marcosvc22,246,0,217
142,jimray3,245,0,81
143,KTM Balu,243,0,222
144,Otenrab,242,0,131
145,BAD Safo20,242,0,84
146,NES SoftStyle,242,0,165
147,Abyssent,241,0,167
148,Limkorv,240,0,113
149,USM DrFoufousse,240,0,149
150,MPLfreaki,240,0,91
151,ArmaTruc,239,0,78
152,brubbba,239,0,139
153,TTV AL3XEM,239,0,140
154,FPascual,236,0,206
155,Ox Evikàz,234,0,124
156,SteelKaphi,233,0,156
157,hıve kıng,230,0,193
158,NoSoySergio,230,0,159
159,Mid from Hyrule,229,0,219
160,NochasRamas,228,0,165
161,Niiiko,228,0,170
162, sußýŠtrØk3mæÞ1K,227,0,166
163,JonHasFun,227,0,231
164,nt mb,227,0,114
165,Big Vegan TS,226,0,176
166,YAROY 43 ANS,226,0,191
167,luffy57773,226,0,164
168,Caal,226,0,139
169,Xava TFT,225,0,164
170,NameMeSenpai,224,0,177
171,Poopmaker,223,0,212
172,wrysp,222,0,152
173,DigaSparta69,222,0,116
174,simplyw0jtek,219,0,134
175,PickStar,216,0,175
176,Nujwk,216,0,277
177,Conde Dooku,215,0,210
178,Joerg,214,0,82
179,TFTMarx,214,0,226
180,nicosm23,214,0,305
181,MugSquared,214,0,132
182,Catalyst TFT,213,0,86
183,Iocke,211,0,175
184,Løken,210,0,194
185,Seccream,210,0,189
186,IW Idlemonkk,207,0,204
187,Sh0bu,207,0,256
188,FBI Zerø,207,0,301
189,Rand24,206,0,128
190,Panpan,206,0,195
191,UTO Qetzer,205,0,140
192,Dys7opia,205,0,148
193,Sh11T0u,204,0,103
194,ZZugzwanggg,204,0,195
195,Phylux,203,0,192
196,CD Petit Chaton,202,0,83
197,0slow,201,0,208
198,xMissingName,201,0,155
199,LeGrandMescalito,201,0,154
200,KC Canbizz,201,0,141
201,Portuguese Babe,201,0,189
202,Skpst,201,0,204
203,KRC Kimi,200,0,82
204,CNG Blade,200,0,156
205,SäckleBoyTTV,200,0,182
206,ZayRro,200,0,117
207,Maybe Rush Chall,200,0,92
208,jhøn,199,0,138
209,PENGZC,197,0,109
210,NES Chicham,197,0,130
211,PCS Xperion,196,0,141
212,Ezaurt,195,0,240
213,nrvn5,194,0,188
214,HHaie Giovanni,193,0,139
215,Lorus,191,0,245
216,TarteMan,190,0,247
217,M0rg0thTFT,189,0,121
218,XplosifTV,189,0,209
219,Uthenera,189,0,216
220,SoyAitanaFanboy,189,0,175
221,RiiKKz,188,0,109
222,headenNSHIMA,186,0,144
223,Gôtaga,184,0,221
224,CriminaL Ghetto,182,0,122
225,Win is Garenteed,180,0,242
226,Mαffew,178,0,101
227,Chokichoc,178,0,182
228,YourLifeisMineEU,178,0,301
229,R1skyTactics TTV,177,0,189
230,AGO traviscwat,176,0,193
231,TXK9z,176,0,159
232,The Glorious,175,0,118
233,Dawidowski244,174,0,316
234,KRC Moustique,172,0,191
235,Tonichou,172,0,63
236,LIL Aware,170,0,168
237,Leitsu,168,0,98
238,tftr1esok,167,0,215
239,Ivanio,167,0,261
240,etre infame,167,0,118
241,S1C ODESZA,166,0,88
242,SGZi,164,0,116
243,Eybeam WG,163,0,181
244,iamTLT,162,0,141
245,Kingdanzz,162,0,107
246,Djiskay,162,0,148
247,LIL Enzosexe,160,0,165
248,AlvinpOx,159,0,203
249,Pokeroath,159,0,294
250,Yanis xD,159,0,155
251,7H3 13357,159,0,135
252,Rogunis,157,0,128
253,Lâd,157,0,138
254,Wet Jungler,156,0,99
255,Onirico,155,0,156
256,Wodj,155,0,127
257,slime03,155,0,140
258,Plebeia,155,0,141
259,Hyde goody2shoes,154,0,142
260,KRC AieZen,154,0,189
261,DG Harpero,154,0,139
262,THE ÐØØMEÐ ØNE,153,0,148
263,Katsuta,152,0,260
264,Vínn,151,0,202
265,Damonlol107,151,0,200
266,Kingnikki,151,0,95
267,TapLast,150,0,122
268,SpritneyBiers,150,0,167
269,alcium9,149,0,156
270,Simgil,148,0,110
271,Luumys,144,0,90
272,S1C s0yun,143,0,160
273,SilverMadKing,142,0,87
274,Lehto,139,0,170
275,ReishiKun,139,0,131
276,JetzIsSchluss,139,0,95
277,Ancalimon,138,0,178
278,Nakashiiii,138,0,227
279,EMP FerryF7,138,0,100
280,CD Wavingthunder,137,0,122
281,TurnDesiign,137,0,107
282,Hèarted,137,0,199
283,FNX Eavii,135,0,177
284,OsL Cloud,134,0,197
285,KatakuriSlayer,134,0,309
286,Sandstromz,134,0,152
287,Cimour,134,0,100
288,Popotiron,131,0,255
289,shapeshifters,131,0,306
290,Initial Mr Fanta,131,0,144
291,Sacred Norriss,131,0,202
292,TESTISment,130,0,117
293,Gloomygl,129,0,142
294,DuhVinci,129,0,161
295,Domidan,127,0,151
296,Overrated EUW,126,0,170
297,PWN Notvar0,124,0,127
298,Nucle0,124,0,136
299,Ployeee,124,0,165
300,Kaaris mes Balls,123,0,147
301,Valasx,122,0,117
302,LastKardax,122,0,258
303,LEVOLOGY,122,0,222
304,TMS Whıte Arıe,122,0,146
305,Du4lity,121,0,112
306,Zhasu,121,0,127
307,Anjelvertun,121,0,212
308,ZeròX,120,0,130
309,Oblivious Rick,119,0,149
310,RobertoSedinh01,119,0,139
311,EDG Lixfex,119,0,127
312,On3Xu,118,0,176
313,B Ø G S U,118,0,151
314,CactusMcCoy,117,0,124
315,Mykayah,116,0,113
316,HK Müllabfuhr,116,0,185
317,BADUS,116,0,147
318,PhoenixNac,116,0,117
