Nick,League Points,Daily Games,Games
0,title,916,0,138
1,summertimer,782,0,134
2,りーり,660,0,194
3,Best 佐藤 JP,640,0,158
4,ginya916,584,0,133
5,Rise8332,463,0,142
6,やつはし,443,0,171
7,Mïdor1,438,0,89
8,きじちゃん,421,0,177
9,Best太郎JP,402,0,156
10,ekollon,351,0,127
11,ぬこ丸,344,0,152
12,高科 奈桜,335,0,207
13,れっさーくん,325,0,55
14,  インターネット,324,0,100
15,Clover,313,0,130
16,ずっしりぷに,302,0,134
17,hakutou,266,0,123
18,0m0chi,262,0,148
19,ますにゃ,240,0,237
20,ここどこ,223,0,137
21,Yuna,220,0,135
22,逐電ガルヴァニク,214,0,154
23,Roy Steiner,212,0,148
24,kaito716,194,0,149
25,tikpen,190,0,176
26,害獣あらいぐま,182,0,140
27,Archsy,163,0,169
28,しかめまどか,154,0,163
29,etsuya0505,150,0,173
30,SUMETAL13,136,0,146
31,IlIlIlll,135,0,178
32,kohada19,133,0,95
33,mochimochipon,133,0,203
34,おおぬき,132,0,100
35,shikirow,131,0,175
36,dammyman0606,131,0,153
37,apa09Neo,128,0,112
38,ginTab,121,0,98
39,βδ蝶々結び,121,0,72
40,日本人VN,120,0,118
41,だっつ,119,0,121
42,next777,114,0,231
43,soushiki,109,0,128
44,ドライチ,108,0,127
45,hakaginanasi,102,0,78
46,東雲めめ,97,0,145
47,ブンブンジグス,97,0,66
48,hizashi,93,0,176
49,shan777,90,0,82
50,長夜星河,89,0,106
51,Just Hitt,88,0,109
52,ザリガニ大会,83,0,130
53,舘backひろし,81,0,110
54,コグマウ,72,0,202
55,nami53,70,0,117
56,イキ杉愛苦朗,70,0,150
57,はいやい,69,0,245
58,Rikuya,68,0,118
59,mikazuk1,67,0,122
60,黄金ユウユウ,63,0,100
61,Hiraino,62,0,144
62,山本晟義,61,0,122
63,sasayamavo,61,0,180
64,haruq11,60,0,137
65,オニヤンマ,59,0,75
66,Lithka Parth,57,0,163
67,長谷川ヒロト,54,0,87
68,PompieTv,53,0,86
69,CarilRui,53,0,174
70,mr14085mr,49,0,143
71,maonn,48,0,106
72,tµkuyomi,47,0,103
73,xsysukiiiiii,47,0,155
74,RhythmAssault,46,0,218
75,ksdhk,43,0,180
76,ボルバルザーク,42,0,84
77,TF7,41,0,95
78,Tomoshan,39,0,128
79,siva fes,39,0,142
80,holi,38,0,240
81,nikku17,37,0,126
82,ターボ師匠,37,0,125
83,aae,32,0,141
84,hitamago,32,0,59
85,dova002,31,0,165
86,misomega,28,0,112
87,Ending Scene,28,0,157
88,ノブマッソ,26,0,134
89,tanisyan,25,0,239
90,か い,25,0,110
91,manull,24,0,64
92,DatLe1708,22,0,119
93,se2ko,22,0,67
94,BzGaga,21,0,182
95,ドリュウズ,19,0,225
96,ryobo29,18,0,157
97,たなってぃ,18,0,92
98,マリフネ,18,0,139
99,Fussof9,17,0,157
100,Nusaaan,17,0,206
101,SouryuBedMan,17,0,274
102,melontan,16,0,72
103,sakuyann,16,0,122
104,CattIeya,16,0,124
105,Dracarys7,13,0,133
106,Poz,13,0,64
107,Vever,11,0,85
108,ちっちゃなお友達,10,0,202
109,svgar,8,0,158
110,1say,8,0,113
111,あははははははは,8,0,82
112,zzb9527,5,0,220
113,精一杯で連勝,5,0,180
114,あでみん,4,0,142
115,えぬがわ,4,0,263
116,Deetimotft,3,0,201
117,nanoha hina,2,0,142
118,澁谷カノン,2,0,115
119,Tengtian,1,0,66
120,deeex,1,0,63
121,ぽにやん,1,0,78
122,千代大龍秀政,1,0,114
123,Mimosa 7,0,0,126
124,喚潮鮫姫,0,0,158
125,ゴマちゃん,0,0,145
126,NusaDua,0,0,112
127,歌川広重,0,0,108
128,しびら,0,0,274
129,LLLXY0504,0,0,139
130,pano,0,0,109
131,mogmogpancake,0,0,109
132,福星1103,0,0,138
133,Yiliang Peng,0,0,152
134,xxw,0,0,192
135,SKT T1 Nge,0,0,155
136,Niu,0,0,72
137,shion2day,0,0,168
138,SUNSTYLE,0,0,147
139,ikraokra,0,0,99
140,m1zono,0,0,200
141,シヴ作ればダイヤ,0,0,261
142,anhson66,0,0,106
143,Ghost2022,0,0,159
