,Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
0,anantft,137,167,32,1.0,https://lolchess.gg/profile/KR/anantft
1,Mr Crow,321,149,19,1.0,https://lolchess.gg/profile/KR/Mr Crow
2,Mîna,187,94,10,1.0,https://lolchess.gg/profile/KR/Mîna
3,Kahdei,1073,218,0,0.0,https://lolchess.gg/profile/KR/Kahdei
4,Skillfullism,878,137,0,0.0,https://lolchess.gg/profile/KR/Skillfullism
5,Huey Dewey Louie,844,166,0,0.0,https://lolchess.gg/profile/KR/Huey Dewey Louie
6,Yush,820,156,0,0.0,https://lolchess.gg/profile/KR/Yush
7,Kjaos,763,156,0,0.0,https://lolchess.gg/profile/KR/Kjaos
8,Colorful,714,301,0,0.0,https://lolchess.gg/profile/KR/Colorful
9,Escha,692,218,0,0.0,https://lolchess.gg/profile/KR/Escha
10,Angora,657,152,0,0.0,https://lolchess.gg/profile/KR/Angora
11,TSM FTX Keane,552,147,0,0.0,https://lolchess.gg/profile/KR/TSM FTX Keane
12,josepao1o,541,129,0,0.0,https://lolchess.gg/profile/KR/josepao1o
13,Tamura77,534,196,0,0.0,https://lolchess.gg/profile/KR/Tamura77
14,serum19231230221,533,223,0,0.0,https://lolchess.gg/profile/KR/serum19231230221
15,vx wlc261213,524,131,0,0.0,https://lolchess.gg/profile/KR/vx wlc261213
16,ClubMaple,504,148,0,0.0,https://lolchess.gg/profile/KR/ClubMaple
17,Reuniclus,500,142,0,0.0,https://lolchess.gg/profile/KR/Reuniclus
18,Dawnglade,499,142,0,0.0,https://lolchess.gg/profile/KR/Dawnglade
19,oubo,441,169,0,0.0,https://lolchess.gg/profile/KR/oubo
20,Typo Vampire,384,190,0,0.0,https://lolchess.gg/profile/KR/Typo Vampire
21,Maxibon bloke,377,207,0,0.0,https://lolchess.gg/profile/KR/Maxibon bloke
22,Perfect Slumbers,369,153,0,0.0,https://lolchess.gg/profile/KR/Perfect Slumbers
23,fread,364,120,0,0.0,https://lolchess.gg/profile/KR/fread
24,NikolaJokic2x,349,92,0,0.0,https://lolchess.gg/profile/KR/NikolaJokic2x
25,huey1,300,64,0,0.0,https://lolchess.gg/profile/KR/huey1
26,TXE,282,126,0,0.0,https://lolchess.gg/profile/KR/TXE
27,Opal,264,130,0,0.0,https://lolchess.gg/profile/KR/Opal
28,11ï,254,212,0,0.0,https://lolchess.gg/profile/KR/11ï
29,harrymiya,253,191,0,0.0,https://lolchess.gg/profile/KR/harrymiya
30,Kuumaneko,248,95,0,0.0,https://lolchess.gg/profile/KR/Kuumaneko
31,Donaldinho,243,137,0,0.0,https://lolchess.gg/profile/KR/Donaldinho
32,HT ARaye ,239,90,0,0.0,https://lolchess.gg/profile/KR/HT ARaye 
33,Huge Hinge Hunk,232,109,0,0.0,https://lolchess.gg/profile/KR/Huge Hinge Hunk
34,0929XXX,226,100,0,0.0,https://lolchess.gg/profile/KR/0929XXX
35,Anivia Kingdom,225,159,0,0.0,https://lolchess.gg/profile/KR/Anivia Kingdom
36,k3ketamine,225,100,0,0.0,https://lolchess.gg/profile/KR/k3ketamine
37,MrWangWang,216,100,0,0.0,https://lolchess.gg/profile/KR/MrWangWang
38,The parry,208,101,0,0.0,https://lolchess.gg/profile/KR/The parry
39,ThreeThousands,205,133,0,0.0,https://lolchess.gg/profile/KR/ThreeThousands
40,mYxCHa,204,130,0,0.0,https://lolchess.gg/profile/KR/mYxCHa
