Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
Jerke,485,308,419,308.0,https://lolchess.gg/profile/EUW/Jerke
Young Ying,424,192,400,192.0,https://lolchess.gg/profile/EUW/Young Ying
DV1 Kacpersky191,801,231,386,231.0,https://lolchess.gg/profile/EUW/DV1 Kacpersky191
TuriTeaFT,369,267,369,267.0,https://lolchess.gg/profile/EUW/TuriTeaFT
SeyRo,376,218,344,218.0,https://lolchess.gg/profile/EUW/SeyRo
Sologesang,1246,249,340,249.0,https://lolchess.gg/profile/EUW/Sologesang
N1bbl3,419,232,340,232.0,https://lolchess.gg/profile/EUW/N1bbl3
simplyw0jtek,551,171,332,171.0,https://lolchess.gg/profile/EUW/simplyw0jtek
SkarambeZZ,579,189,325,189.0,https://lolchess.gg/profile/EUW/SkarambeZZ
Cherrious HAN,316,159,316,159.0,https://lolchess.gg/profile/EUW/Cherrious HAN
XaVa,316,401,314,401.0,https://lolchess.gg/profile/EUW/XaVa
Kevin Parker,881,281,312,281.0,https://lolchess.gg/profile/EUW/Kevin Parker
darkino,357,196,311,196.0,https://lolchess.gg/profile/EUW/darkino
Entre 2 Burne,301,260,301,260.0,https://lolchess.gg/profile/EUW/Entre 2 Burne
yl c0,334,126,297,126.0,https://lolchess.gg/profile/EUW/yl c0
Neo 2,346,138,295,138.0,https://lolchess.gg/profile/EUW/Neo 2
PickStar,507,192,291,192.0,https://lolchess.gg/profile/EUW/PickStar
Hèarted,428,232,291,232.0,https://lolchess.gg/profile/EUW/Hèarted
Sizuru,555,181,286,181.0,https://lolchess.gg/profile/EUW/Sizuru
h4udrauf,784,216,275,216.0,https://lolchess.gg/profile/EUW/h4udrauf
Adonis17,567,164,269,164.0,https://lolchess.gg/profile/EUW/Adonis17
FNX Parandaar,309,290,268,290.0,https://lolchess.gg/profile/EUW/FNX Parandaar
ebcimusprime,303,331,266,331.0,https://lolchess.gg/profile/EUW/ebcimusprime
Uebermensch,262,216,262,216.0,https://lolchess.gg/profile/EUW/Uebermensch
USM DrFoufousse,499,173,259,173.0,https://lolchess.gg/profile/EUW/USM DrFoufousse
BadPlayersAreBad,362,119,259,119.0,https://lolchess.gg/profile/EUW/BadPlayersAreBad
Marcosvc22,504,228,258,228.0,https://lolchess.gg/profile/EUW/Marcosvc22
Ne pas rager,366,207,258,207.0,https://lolchess.gg/profile/EUW/Ne pas rager
iLLuuu TFT,505,223,256,223.0,https://lolchess.gg/profile/EUW/iLLuuu TFT
Squishy Squashy,255,198,240,198.0,https://lolchess.gg/profile/EUW/Squishy Squashy
Wägga,293,180,239,180.0,https://lolchess.gg/profile/EUW/Wägga
Cynarr,1152,160,237,160.0,https://lolchess.gg/profile/EUW/Cynarr
DVG Mortys,237,336,237,336.0,https://lolchess.gg/profile/EUW/DVG Mortys
Williampetitdino,258,306,236,306.0,https://lolchess.gg/profile/EUW/Williampetitdino
HiImChayan2,294,195,235,195.0,https://lolchess.gg/profile/EUW/HiImChayan2
tagawa,310,115,233,115.0,https://lolchess.gg/profile/EUW/tagawa
T4nPoP,339,276,231,276.0,https://lolchess.gg/profile/EUW/T4nPoP
Anczz,307,266,230,266.0,https://lolchess.gg/profile/EUW/Anczz
Hlsidesorrymaker,229,235,229,235.0,https://lolchess.gg/profile/EUW/Hlsidesorrymaker
Schamshir,229,217,229,217.0,https://lolchess.gg/profile/EUW/Schamshir
