Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
TTVBebe872,1531,210,0,0,https://lolchess.gg/profile/KR/TTVBebe872
uL 빈틈,1246,150,0,0,https://lolchess.gg/profile/KR/uL 빈틈
1Chon,1146,217,0,0,https://lolchess.gg/profile/KR/1Chon
강선종,1033,247,0,0,https://lolchess.gg/profile/KR/강선종
쵸리네,1010,235,0,0,https://lolchess.gg/profile/KR/쵸리네
오박사TV,885,167,0,0,https://lolchess.gg/profile/KR/오박사TV
리롤을 잘 치는 타카기 양,873,173,0,0,https://lolchess.gg/profile/KR/리롤을 잘 치는 타카기 양
nywell,840,311,0,0,https://lolchess.gg/profile/KR/nywell
트위치 효구리,799,223,0,0,https://lolchess.gg/profile/KR/트위치 효구리
발바닥위에,789,262,0,0,https://lolchess.gg/profile/KR/발바닥위에
Acro 작은거인,787,198,0,0,https://lolchess.gg/profile/KR/Acro 작은거인
My Paradise,782,175,0,0,https://lolchess.gg/profile/KR/My Paradise
uL ZENIA,752,241,0,0,https://lolchess.gg/profile/KR/uL ZENIA
Acro 정재경,725,159,0,0,https://lolchess.gg/profile/KR/Acro 정재경
밀짚모자 쌍옆,721,121,0,0,https://lolchess.gg/profile/KR/밀짚모자 쌍옆
uL precel,689,273,0,0,https://lolchess.gg/profile/KR/uL precel
TwTF 엘무무,684,205,0,0,https://lolchess.gg/profile/KR/TwTF 엘무무
Acro uu,682,130,0,0,https://lolchess.gg/profile/KR/Acro uu
아갓어,678,237,0,0,https://lolchess.gg/profile/KR/아갓어
strongsexy,658,255,0,0,https://lolchess.gg/profile/KR/strongsexy
이렇게 좋은 날,649,126,0,0,https://lolchess.gg/profile/KR/이렇게 좋은 날
lllliililiilllli,587,157,0,0,https://lolchess.gg/profile/KR/lllliililiilllli
동찬1,572,207,0,0,https://lolchess.gg/profile/KR/동찬1
Elatha,571,254,0,0,https://lolchess.gg/profile/KR/Elatha
푸도로,542,228,0,0,https://lolchess.gg/profile/KR/푸도로
Acro 히츄,542,147,0,0,https://lolchess.gg/profile/KR/Acro 히츄
No Mid Kaisa Plz,539,91,0,0,https://lolchess.gg/profile/KR/No Mid Kaisa Plz
Acro Nicole,536,264,0,0,https://lolchess.gg/profile/KR/Acro Nicole
므네짱짱,533,188,0,0,https://lolchess.gg/profile/KR/므네짱짱
서아 사랑해,520,165,0,0,https://lolchess.gg/profile/KR/서아 사랑해
플인선,513,193,0,0,https://lolchess.gg/profile/KR/플인선
