Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
anantft,137,167,32,1.0,https://lolchess.gg/profile/KR/anantft
Mr Crow,321,149,19,1.0,https://lolchess.gg/profile/KR/Mr Crow
Mîna,187,94,10,1.0,https://lolchess.gg/profile/KR/Mîna
Kahdei,1073,218,0,0.0,https://lolchess.gg/profile/KR/Kahdei
Skillfullism,878,137,0,0.0,https://lolchess.gg/profile/KR/Skillfullism
Huey Dewey Louie,844,166,0,0.0,https://lolchess.gg/profile/KR/Huey Dewey Louie
Yush,820,156,0,0.0,https://lolchess.gg/profile/KR/Yush
Kjaos,763,156,0,0.0,https://lolchess.gg/profile/KR/Kjaos
Colorful,714,301,0,0.0,https://lolchess.gg/profile/KR/Colorful
Escha,692,218,0,0.0,https://lolchess.gg/profile/KR/Escha
Angora,657,152,0,0.0,https://lolchess.gg/profile/KR/Angora
TSM FTX Keane,552,147,0,0.0,https://lolchess.gg/profile/KR/TSM FTX Keane
josepao1o,541,129,0,0.0,https://lolchess.gg/profile/KR/josepao1o
Tamura77,534,196,0,0.0,https://lolchess.gg/profile/KR/Tamura77
serum19231230221,533,223,0,0.0,https://lolchess.gg/profile/KR/serum19231230221
vx wlc261213,524,131,0,0.0,https://lolchess.gg/profile/KR/vx wlc261213
ClubMaple,504,148,0,0.0,https://lolchess.gg/profile/KR/ClubMaple
Reuniclus,500,142,0,0.0,https://lolchess.gg/profile/KR/Reuniclus
Dawnglade,499,142,0,0.0,https://lolchess.gg/profile/KR/Dawnglade
oubo,441,169,0,0.0,https://lolchess.gg/profile/KR/oubo
Typo Vampire,384,190,0,0.0,https://lolchess.gg/profile/KR/Typo Vampire
Maxibon bloke,377,207,0,0.0,https://lolchess.gg/profile/KR/Maxibon bloke
Perfect Slumbers,369,153,0,0.0,https://lolchess.gg/profile/KR/Perfect Slumbers
fread,364,120,0,0.0,https://lolchess.gg/profile/KR/fread
NikolaJokic2x,349,92,0,0.0,https://lolchess.gg/profile/KR/NikolaJokic2x
huey1,300,64,0,0.0,https://lolchess.gg/profile/KR/huey1
TXE,282,126,0,0.0,https://lolchess.gg/profile/KR/TXE
Opal,264,130,0,0.0,https://lolchess.gg/profile/KR/Opal
11ï,254,212,0,0.0,https://lolchess.gg/profile/KR/11ï
harrymiya,253,191,0,0.0,https://lolchess.gg/profile/KR/harrymiya
Kuumaneko,248,95,0,0.0,https://lolchess.gg/profile/KR/Kuumaneko
Donaldinho,243,137,0,0.0,https://lolchess.gg/profile/KR/Donaldinho
HT ARaye ,239,90,0,0.0,https://lolchess.gg/profile/KR/HT ARaye 
Huge Hinge Hunk,232,109,0,0.0,https://lolchess.gg/profile/KR/Huge Hinge Hunk
0929XXX,226,100,0,0.0,https://lolchess.gg/profile/KR/0929XXX
Anivia Kingdom,225,159,0,0.0,https://lolchess.gg/profile/KR/Anivia Kingdom
k3ketamine,225,100,0,0.0,https://lolchess.gg/profile/KR/k3ketamine
MrWangWang,216,100,0,0.0,https://lolchess.gg/profile/KR/MrWangWang
The parry,208,101,0,0.0,https://lolchess.gg/profile/KR/The parry
ThreeThousands,205,133,0,0.0,https://lolchess.gg/profile/KR/ThreeThousands
mYxCHa,204,130,0,0.0,https://lolchess.gg/profile/KR/mYxCHa
Song Jia,204,188,0,0.0,https://lolchess.gg/profile/KR/Song Jia
Rané,199,172,0,0.0,https://lolchess.gg/profile/KR/Rané
Fire in my lungs,188,123,0,0.0,https://lolchess.gg/profile/KR/Fire in my lungs
